strategy,delayed_jobs,delay_job_h,capacity_reduction_pct,node_reduction_pct,p95_wait_change_min
Baseline,0,0.0,0.0,0.0,0.0
B1 1 h,407,252.45138888888889,0.1637736358758022,-0.0634381818953018,13.239687390000002
B1 2 h,420,583.2411111111111,0.4282682956910313,-0.1220017473524376,43.08442264666664
B1 4 h,528,1520.2305555555556,0.979658481307026,-0.2352970348258165,148.89419540333336
B2 Q75 / cap50,373,1114.5308333333332,0.6566123133893076,-0.2329992388956556,149.01678665
Adaptive balanced,191,484.4272222222222,0.6819072278724947,-0.0238824614541747,70.34598869499999
08–18 UTC hybrid,445,1402.5183333333334,0.8355100033939541,-0.2325432207430198,168.465065545
Strict oracle (no move),0,0.0,-0.0041672222670801,-0.0238702447021145,0.1999089883333303
Balanced oracle (no move),0,0.0,-0.0052636165011838,-0.0243240103267667,-0.013581071666673475
History-only,9,28.75,0.1554726842317137,-0.2118433725600507,0.007599456666654683
80% consensus,9,28.75,0.1552107749780753,-0.2126872178815294,-0.009159888333336615
Safe rolling (no move),0,0.0,-0.0059114941841365,-0.0242963130641203,-0.009557736666662701
